lat,long,site
43.28,-97.87,81002
43.27,-121.77,69245
43.26,-76.68,61069
43.26,-107.68,92060
43.25,-70.64,44001
43.25,-79,61065
43.24,-71.61,58007
43.24,-71.19,58008
43.23,-94,36032
43.23,-83.25,49165
43.23,-70.91,58004
43.21,-73.3,61089
43.21,-73.41,61090
43.19,-71.28,58006
43.18,-84.52,49051
43.18,-77.48,61068
43.17,-77.96,61067
43.17,-111.03,92051
43.16,-76.02,61070
43.15,-116.5,33217
43.14,-78.11,61066
43.14,-80.2,68207
43.11,-112.73,33021
43.11,-85.19,49134
43.11,-75.66,61079
43.11,-103.68,81042
43.1,-107.02,92059
43.09,-122.51,69244
43.08,-70.71,44004
43.08,-80.85,68007
43.07,-72.21,58014
43.06,-93.57,36131
43.06,-85.88,49033
43.06,-78.85,61064
43.06,-91.07,91315
43.04,-95.58,36033
43.04,-72.95,87003
43.03,-73.51,61091
43.03,-90.66,91316
43.02,-72.38,58013
43.02,-75.43,61080
43.01,-79.28,68301
43,-73.19,87008
43,-89.66,91167
42.97,-123.21,69026
42.96,-111.71,33128
42.95,-115.21,33124
42.95,-71.06,58102
42.95,-78.69,61154
42.95,-88.27,91421
42.94,-81.65,68203
42.93,-90.21,91319
42.91,-88.7,91068
42.9,-71.86,58001
42.89,-77.11,61047
42.87,-107.44,92018
42.86,-121.83,69252
42.86,-106.12,92019
42.85,-112.51,33027
42.83,-80.9,68202
42.83,-109.67,92074
42.83,-105.81,92120
42.83,-110.42,92173
42.82,-73.73,61120
42.82,-104.41,92090
42.81,-116.63,33023
42.81,-70.81,47007
42.81,-90.96,91064
42.8,-72.16,58003
42.8,-73.28,87002
42.8,-87.98,91070
42.79,-115.71,33224
42.78,-82.55,49172
42.78,-124.02,69225
42.77,-77.25,61048
42.76,-98.59,54025
42.73,-102.2,54034
42.73,-74.19,61026
42.73,-122.57,69251
42.73,-108.83,92077
42.72,-73.3,61017
42.7,-77.59,61050
42.7,-82.24,68029
42.69,-97.95,54023
42.69,-77.95,61052
42.68,-78.82,61053
42.67,-83.37,49168
42.67,-80.37,68002
42.66,-77.22,61049
42.66,-120.79,69029
42.65,-82.89,49073
42.65,-100.53,54031
42.65,-74.4,61025
42.64,-95.72,36027
42.63,-85.83,49037
42.63,-81.46,68303
42.63,-89.96,91066
42.62,-78.1,61058
42.61,-72.27,47017
42.61,-78.17,61055
42.61,-88.05,91069
42.6,-94.29,36025
42.6,-103.58,54044
42.59,-85.13,49032
42.59,-78.36,61057
42.59,-74.92,61123
42.56,-75.15,61029
42.56,-106.99,92083
42.55,-73.3,47120
42.55,-76.63,61043
42.53,-95.87,36026
42.53,-122.79,69127
42.52,-76.25,61041
42.51,-71.53,47009
42.51,-86.12,49021
42.51,-90.43,91065
42.51,-89.11,91320
42.49,-112.39,33227
42.49,-96.37,36028
42.49,-122.42,69227
42.48,-74.4,61027
42.48,-78.23,61060
42.46,-89.38,34302
42.46,-72.9,47018
42.44,-71.84,47112
42.43,-74.15,61022
42.43,-75.09,61034
42.43,-105.88,92086
42.42,-92.47,36020
42.42,-123.68,69058
42.41,-73.18,47021
42.4,-75.6,61036
42.39,-88.91,34066
42.39,-90.28,34301
42.39,-74.92,61024
42.38,-121.01,69160
42.37,-72.84,47019
42.37,-121.8,69028
42.35,-73.99,61018
42.35,-76,61038
42.34,-75.93,61030
42.34,-120.74,69229
42.33,-114.27,33025
42.31,-75.55,61031
42.31,-108.2,92079
42.28,-100.53,54041
42.27,-103.65,54130
42.27,-77.94,61045
42.27,-78.89,61056
42.27,-123.6,69250
42.26,-72.35,47014
42.25,-85.41,49035
42.25,-124.24,69057
42.24,-106.56,92084
42.24,-106.41,92085
42.23,-72.51,47015
