,site,lat,long
30688,14168,41.82,-122.01
30906,14175,41.4,-122.04
33074,14430,41.56,-121.58
30600,14166,41.99,-121.89
32470,14406,41.67,-121.25
32527,14407,41.86,-120.5
30550,14165,41.73,-120.37
32424,14405,41.6,-121.05
94762,69253,42.06,-120.15
76010,55101,41.83,-119.66
93384,69061,42.01,-119.47
110512,85024,41.96,-113.63
44144,33226,42.21,-113.84
111438,85301,41.84,-113.79
44209,33228,42.0,-111.95
110926,85152,41.58,-112.08
110948,85153,41.72,-111.33
75429,54043,42.18,-102.78
74883,54021,41.35,-102.97
75363,54039,41.78,-102.45
50619,36017,42.04,-90.6
46650,34067,41.34,-90.53
50288,36007,41.56,-91.27
46554,34065,42.14,-89.76
50245,36006,41.97,-90.29
47542,34305,41.83,-89.66
47581,34306,41.59,-88.43
44647,34016,41.53,-88.57
44572,34014,41.93,-88.18
64160,49020,42.08,-86.03
49485,35103,41.63,-86.36
64280,49022,41.87,-86.55
64897,49039,41.76,-85.75
48325,35006,41.72,-85.67
64702,49036,42.04,-85.72
65122,49055,42.1,-84.8
88305,66001,41.55,-84.38
48366,35009,41.6,-84.93
90021,66107,41.54,-83.45
65184,49057,41.91,-83.99
88364,66002,41.38,-84.12
94972,72004,41.71,-80.32
95144,72008,41.75,-79.94
95029,72005,41.8,-79.95
95328,72012,41.39,-79.2
98883,72107,41.99,-79.15
95568,72016,41.56,-78.85
84010,61111,42.08,-78.59
95622,72017,41.42,-78.73
95676,72018,41.96,-78.34
99010,72132,41.54,-76.96
96407,72034,41.44,-76.9
96216,72030,41.87,-76.9
81260,61033,42.01,-75.8
96680,72041,41.34,-75.25
96813,72043,41.94,-75.61
84523,61207,41.33,-73.68
80483,61009,41.75,-73.98
81011,61028,42.17,-74.12
36982,18012,41.74,-73.35
37116,18015,41.58,-72.85
36788,18003,41.7,-72.51
36736,18001,41.33,-71.96
62689,47010,42.15,-71.89
100172,77004,41.98,-71.73
62493,47005,41.93,-71.07
62548,47006,42.08,-70.86
62738,47011,42.0,-71.11
92724,69026,42.97,-123.21
93335,69058,42.42,-123.68
94620,69250,42.27,-123.6
94255,69227,42.49,-122.42
94673,69251,42.73,-122.57
94544,69244,43.09,-122.51
93769,69160,42.38,-121.01
94288,69229,42.34,-120.74
92825,69029,42.66,-120.79
43249,33021,43.11,-112.73
43411,33027,42.85,-112.51
44181,33227,42.49,-112.39
125905,92083,42.56,-106.99
125610,92059,43.1,-107.02
125012,92018,42.87,-107.44
126201,92120,42.83,-105.81
125038,92019,42.86,-106.12
125927,92084,42.24,-106.56
75623,54130,42.27,-103.65
102290,81042,43.11,-103.68
75453,54044,42.6,-103.58
50793,36026,42.53,-95.87
50846,36027,42.64,-95.72
50987,36033,43.04,-95.58
122968,91064,42.81,-90.96
124331,91316,43.03,-90.66
124265,91315,43.06,-91.07
123064,91066,42.63,-89.96
123431,91167,43.0,-89.66
47369,34301,42.39,-90.28
47429,34302,42.46,-89.38
124560,91320,42.51,-89.11
46602,34066,42.39,-88.91
123216,91070,42.8,-87.98
124678,91421,42.95,-88.27
123162,91069,42.61,-88.05
64644,49035,42.25,-85.41
64594,49033,43.06,-85.88
64761,49037,42.63,-85.83
13689,68202,42.83,-80.9
15999,68303,42.63,-81.46
11347,68007,43.08,-80.85
82542,61064,43.06,-78.85
82093,61053,42.68,-78.82
15950,68301,43.01,-79.28
82428,61060,42.48,-78.23
82025,61052,42.69,-77.95
81713,61045,42.27,-77.94
81955,61050,42.7,-77.59
81885,61049,42.66,-77.22
81776,61047,42.89,-77.11
81148,61030,42.34,-75.93
83149,61080,43.02,-75.43
83089,61079,43.11,-75.66
80847,61025,42.65,-74.4
81075,61029,42.56,-75.15
81327,61034,42.43,-75.09
83577,61091,43.03,-73.51
84137,61120,42.82,-73.73
80905,61026,42.73,-74.19
63092,47021,42.41,-73.18
62839,47015,42.23,-72.51
112262,87008,43.0,-73.19
62788,47014,42.26,-72.35
76179,58003,42.8,-72.16
76717,58013,43.02,-72.38
62637,47009,42.51,-71.53
57972,44004,43.08,-70.71
62587,47007,42.81,-70.81
92672,69019,43.9,-122.55
94129,69219,43.63,-122.3
93199,69051,43.29,-122.34
93244,69052,43.98,-121.8
94585,69245,43.27,-121.77
93462,69120,43.59,-121.83
44088,33222,43.82,-111.2
43121,33016,44.02,-111.25
43270,33022,43.53,-111.7
102519,81706,43.81,-103.76
102327,81047,43.92,-103.51
102478,81705,43.72,-103.5
102305,81043,43.89,-102.45
101970,81026,44.02,-102.58
101496,81009,43.65,-102.51
101301,81001,43.33,-96.88
101385,81003,43.94,-97.47
101598,81012,44.01,-97.67
67802,50053,43.5,-91.29
121354,91034,44.01,-91.37
122292,91051,43.53,-90.86
122407,91053,43.82,-90.2
122470,91054,43.78,-90.35
122527,91055,43.44,-89.86
122829,91061,43.49,-88.9
122776,91060,43.45,-88.73
124383,91317,43.56,-89.52
124449,91318,43.87,-88.04
122918,91063,43.37,-87.87
122723,91059,43.61,-88.48
14003,68210,43.81,-81.19
13955,68209,43.37,-81.15
11392,68008,43.66,-80.73
13844,68207,43.14,-80.2
13904,68208,43.54,-80.51
11247,68005,43.95,-79.91
82644,61066,43.14,-78.11
15900,68300,43.98,-78.36
82701,61067,43.17,-77.96
82994,61075,43.45,-75.9
82879,61071,44.0,-76.04
82831,61070,43.16,-76.02
83257,61083,43.73,-74.47
84366,61182,43.58,-74.85
83196,61081,43.63,-74.39
83625,61092,43.6,-73.73
83314,61084,43.97,-74.24
83669,61093,43.53,-73.79
83467,61089,43.21,-73.3
112301,87010,43.61,-73.09
112085,87005,43.47,-72.58
76836,58015,43.5,-72.13
76599,58011,43.45,-71.88
112205,87007,43.89,-72.26
76303,58006,43.19,-71.28
76660,58012,43.99,-71.29
76544,58010,43.41,-71.2
57922,44003,43.49,-70.51
58325,44014,44.01,-69.96
57868,44002,43.68,-70.36
125451,92042,44.31,-106.93
124840,92005,44.78,-106.71
125365,92039,44.03,-107.45
